year,pick,overall_slot,manager,player,position,position_source,career_ppg,expected_ppg,draft_adj_ppg,career_games,through,status
2019,1.01,1,Josh Ponath,Josh Jacobs,RB,FFC same-year rookie ADP,14.800000,10.908800,3.891200,105,2025,scored
2019,1.02,2,Josh Ponath,Parris Campbell,WR,FFC same-year rookie ADP,4.360000,8.398400,-4.038400,50,2025,scored
2019,1.03,3,Matt Metz,N'Keal Harry,WR,FFC same-year rookie ADP,2.740816,8.332600,-5.591784,49,2023,scored
2019,1.04,4,Alex Agueros,David Montgomery,RB,FFC same-year rookie ADP,12.288000,10.200800,2.087200,105,2025,scored
2019,1.05,5,Matthew Piontek,Miles Sanders,RB,FFC same-year rookie ADP,9.353409,9.927000,-0.573591,88,2025,scored
2019,1.06,6,Matthew Piontek,DK Metcalf,WR,FFC same-year rookie ADP,11.471429,8.037200,3.434229,112,2025,scored
2019,1.07,7,David Carnes,Diontae Johnson,WR,FFC same-year rookie ADP,9.773034,7.899400,1.873634,89,2024,scored
2019,1.08,8,Matt Clawson,Mecole Hardman,WR,NFL draft history (PFR/nfldata),5.490244,7.740600,-2.250356,82,2025,scored
2019,1.09,9,Payton Docheff,A.J. Brown,WR,FFC same-year rookie ADP,13.427619,7.562000,5.865619,105,2025,scored
2019,1.10,10,Jordan Martin,Deebo Samuel,WR,NFL draft history (PFR/nfldata),11.975876,7.366700,4.609176,97,2025,scored
2019,1.11,11,Matt Metz,Marquise Brown,WR,NFL draft history (PFR/nfldata),9.074444,7.159400,1.915044,90,2025,scored
2019,1.12,12,Seth Miller,Darrell Henderson,RB,NFL draft history (PFR/nfldata),7.316667,7.719200,-0.402533,54,2023,scored
2019,2.01,13,Kevin Long,Andy Isabella,WR,FFC same-year rookie ADP,1.865116,6.734200,-4.869084,43,2023,scored
2019,2.02,14,Matt Clawson,Devin Singletary,RB,FFC same-year rookie ADP,8.502182,7.145200,1.356982,110,2025,scored
2019,2.03,15,Seth Miller,Kyler Murray,QB,FFC same-year rookie ADP,20.786207,13.939200,6.847007,87,2025,scored
2019,2.04,16,Mason Good,T.J. Hockenson,TE,FFC same-year rookie ADP,8.438144,5.637500,2.800644,97,2025,scored
2019,2.05,17,Jordan Martin,JJ Arcega-Whiteside,WR,FFC same-year rookie ADP,1.275000,6.013600,-4.738600,40,2021,scored
2019,2.06,18,Alex Agueros,Noah Fant,TE,FFC same-year rookie ADP,5.700909,5.435900,0.265009,110,2025,scored
2019,2.07,19,Matthew Piontek,Irv Smith Jr,TE,FFC same-year rookie ADP,3.922222,5.331700,-1.409478,54,2024,scored
2019,2.08,20,Travis Page,Hakeem Butler,WR,FFC same-year rookie ADP,0.000000,5.646200,-5.646200,2,2020,scored
2019,2.09,21,Payton Docheff,Justice Hill,RB,FFC same-year rookie ADP,4.144048,5.539900,-1.395852,84,2025,scored
2019,2.10,22,Matt Metz,Damien Harris,RB,FFC same-year rookie ADP,8.897727,5.357100,3.540627,44,2023,scored
2019,2.11,23,Matt Clawson,Benny Snell,RB,Plebs/Sleeper fallback,2.477778,5.190700,-2.712922,63,2022,scored
2019,2.12,24,Jordan Martin,Miles Boykin,WR,FFC same-year rookie ADP,1.517808,5.216500,-3.698692,73,2023,scored
2019,3.01,25,Josh Ponath,Dwayne Haskins,QB,FFC same-year rookie ADP,8.285882,12.894300,-4.608418,17,2021,scored
2019,3.02,26,David Carnes,Alexander Mattison,RB,FFC same-year rookie ADP,6.429213,4.789400,1.639813,89,2024,scored
2019,3.03,27,Mason Good,Darwin Thompson,RB,FFC same-year rookie ADP,2.203846,4.682000,-2.478154,26,2020,scored
2019,3.04,28,Seth Miller,Terry McLaurin,WR,FFC same-year rookie ADP,11.218692,4.745300,6.473392,107,2025,scored
2019,3.05,29,David Carnes,Ryquell Armstead,RB,FFC same-year rookie ADP,3.072222,4.489900,-1.417678,18,2021,scored
2019,3.06,30,Matt Clawson,Riley Ridley,WR,FFC same-year rookie ADP,1.580000,4.526600,-2.946600,10,2020,scored
2019,3.07,31,Jordan Martin,Daniel Jones,QB,FFC same-year rookie ADP,16.117108,11.869500,4.247608,83,2025,scored
2019,3.08,32,Matt Metz,Kelvin Harmon,WR,FFC same-year rookie ADP,3.246250,4.333900,-1.087650,16,2019,scored
2019,3.09,33,Mason Good,Hunter Renfrow,WR,FFC same-year rookie ADP,6.906329,4.247600,2.658729,79,2025,scored
2019,3.10,34,David Carnes,Jalen Hurd,WR,FFC same-year rookie ADP,0.000000,4.167800,-4.167800,,2025,scored
2019,3.11,35,Payton Docheff,Devine Ozigbo,RB,Plebs/Sleeper fallback,0.685714,3.947100,-3.261386,28,2023,scored
2019,3.12,36,Seth Miller,Dexter Williams,RB,FFC same-year rookie ADP,0.271429,3.851400,-3.579971,7,2020,scored
2019,4.01,37,Seth Miller,Jordan Scarlett,RB,NFL draft history (PFR/nfldata),0.090000,3.753800,-3.663800,10,2021,scored
2019,4.02,38,Matt Metz,Jace Sternberger,TE,FFC same-year rookie ADP,1.300000,3.728000,-2.428000,18,2020,scored
2019,4.03,39,Matt Clawson,Drew Lock,QB,FFC same-year rookie ADP,10.294146,10.546200,-0.252054,41,2025,scored
2019,4.04,40,David Carnes,Bryce Love,RB,NFL draft history (PFR/nfldata),0.000000,3.453500,-3.453500,,2025,scored
2019,4.05,41,Kevin Long,Myles Gaskin,RB,FFC same-year rookie ADP,7.025532,3.423700,3.601832,47,2025,scored
2019,4.06,42,Matt Clawson,James Williams,RB,manual historical rookie-position audit,0.000000,3.423700,-3.423700,,2025,scored
2019,4.07,43,Matt Metz,Rodney Anderson,RB,NFL draft history (PFR/nfldata),0.000000,3.423700,-3.423700,,2025,scored
2019,4.08,44,Jordan Martin,Qadree Ollison,RB,NFL draft history (PFR/nfldata),2.095652,3.423700,-1.328048,23,2023,scored
2019,4.09,45,David Carnes,Dawson Knox,TE,NFL draft history (PFR/nfldata),5.384314,3.501100,1.883214,102,2025,scored
2019,4.10,46,Mason Good,Kahale Warring,TE,NFL draft history (PFR/nfldata),0.555556,3.501100,-2.945544,9,2021,scored
2019,4.11,47,Matt Metz,Trayveon Williams,RB,FFC same-year rookie ADP,0.756000,3.423700,-2.667700,75,2025,scored
2019,4.12,48,Jordan Martin,Tony Pollard,RB,FFC same-year rookie ADP,9.869643,3.423700,6.445943,112,2025,scored
2020,1.01,1,Seth Miller,Jonathan Taylor,RB,FFC same-year rookie ADP,17.169048,10.908800,6.260248,84,2025,scored
2020,1.02,2,Jordan Martin,D'Andre Swift,RB,FFC same-year rookie ADP,12.322472,10.691300,1.631172,89,2025,scored
2020,1.03,3,Payton Docheff,Clyde Edwards-Helaire,RB,FFC same-year rookie ADP,8.253846,10.455600,-2.201754,52,2025,scored
2020,1.04,4,Seth Miller,J.K. Dobbins,RB,FFC same-year rookie ADP,11.363830,10.200800,1.163030,47,2025,scored
2020,1.05,5,Jordan Martin,Cam Akers,RB,FFC same-year rookie ADP,6.279322,9.927000,-3.647678,59,2025,scored
2020,1.06,6,Seth Miller,Justin Jefferson,WR,FFC same-year rookie ADP,14.946170,8.037200,6.908970,94,2025,scored
2020,1.07,7,Seth Miller,CeeDee Lamb,WR,FFC same-year rookie ADP,14.043158,7.899400,6.143758,95,2025,scored
2020,1.08,8,Matthew Piontek,Jerry Jeudy,WR,FFC same-year rookie ADP,8.513187,7.740600,0.772587,91,2025,scored
2020,1.09,9,Seth Miller,Jalen Reagor,WR,FFC same-year rookie ADP,3.006250,7.562000,-4.555750,64,2024,scored
2020,1.10,10,Alex Agueros,Henry Ruggs III,WR,FFC same-year rookie ADP,7.180000,7.366700,-0.186700,20,2021,scored
2020,1.11,11,Matt Metz,AJ Dillon,RB,FFC same-year rookie ADP,7.100000,8.029700,-0.929700,67,2025,scored
2020,1.12,12,Seth Miller,Denzel Mims,WR,FFC same-year rookie ADP,3.020000,6.946200,-3.926200,30,2022,scored
2020,2.01,13,Payton Docheff,Ke'Shawn Vaughn,RB,FFC same-year rookie ADP,1.519565,7.423900,-5.904335,46,2024,scored
2020,2.02,14,Seth Miller,Antonio Gibson,RB,FFC same-year rookie ADP,9.068675,7.145200,1.923475,83,2025,scored
